symbol,segment,ANN_DATE,CHANGE_DATE,CURRENT_SIGN,IS_VALID,TOT_SHARE,FLOAT_A_SHARE,TOT_TRADABLE_SHARE,TOT_RESTRICTED_SHARE,SHARE_CHANGE_REASON_STR
000001.SZ,head,19910403,19910403,0,1,4850.0171,2650.0,2650.0,0.0,新股上市
000001.SZ,head,19911231,19911231,0,1,8975.1643,3949.0723,3949.0723,0.0,送股
000001.SZ,head,19940630,19940630,0,1,26941.7899,17912.2251,17912.2251,0.0,股东变化导致股份结构变动
000001.SZ,head,19940702,19940714,0,0,40412.6849,26868.3377,26868.3377,0.0,送转股
000001.SZ,tail,20240816,20240630,0,1,1940591.8198,1940561.7528,1940561.7528,30.067,高管股份变动
000001.SZ,tail,20250315,20241231,0,1,1940591.8198,1940557.185,1940557.185,34.6348,高管股份变动
000001.SZ,tail,20250823,20250630,0,1,1940591.8198,1940560.0653,1940560.0653,31.7545,高管股份变动
000001.SZ,tail,20260310,20260310,1,1,1940591.8198,1940560.0653,1940560.0653,31.7545,优先股注销
000002.SZ,head,19930524,19910129,0,1,4124.668,2800.0,2800.0,0.0,新股上市
000002.SZ,head,19910527,19910608,0,1,7697.0509,5651.8173,5651.8173,0.0,送股
000002.SZ,head,19920630,19920320,0,1,9236.4611,6782.1807,6782.1807,0.0,送股
000002.SZ,head,19930325,19930405,0,1,13854.6916,10173.271,10173.271,0.0,送股
000002.SZ,tail,20230310,20230309,0,1,1193070.9471,971666.7215,1192318.0153,752.9318,其它
000002.SZ,tail,20240329,20231231,0,1,1193070.9471,971693.5865,1192344.8803,726.0668,高管股份变动
000002.SZ,tail,20250613,20250609,0,1,1193070.9471,971681.279,1192332.5728,738.3743,高管股份变动
000002.SZ,tail,20250823,20250630,1,1,1193070.9471,971639.9629,1192291.2567,779.6904,高管股份变动
000004.SZ,head,19910114,19910114,0,1,1250.0,500.0,500.0,0.0,新股上市
000004.SZ,head,19930630,19930630,0,1,5089.5,2407.6845,2407.6845,0.0,配股上市
000004.SZ,head,19940114,19940114,0,1,5089.5,2524.6845,2524.6845,0.0,内部职工股上市
000004.SZ,head,19940630,19940520,0,1,7634.2501,3787.0268,3787.0268,0.0,送转股
000004.SZ,tail,20230727,20230725,0,1,13238.0282,11891.6853,11891.6853,1346.3429,回购
000004.SZ,tail,20230810,20230815,0,1,13238.0282,12628.8093,12628.8093,609.2189,定向增发机构配售上市
000004.SZ,tail,20250429,20241231,0,1,13238.0282,12628.8093,12628.8093,609.2189,股东变化导致股份结构变动
000004.SZ,tail,20250823,20250527,1,1,13238.0282,12628.7768,12628.7768,609.2514,高管股份变动
000006.SZ,head,19930423,19920427,0,1,2531.132,1559.468,1559.468,0.0,新股上市
000006.SZ,head,19931231,19931231,0,1,5669.7356,3528.2084,3528.2084,0.0,股东变化导致股份结构变动
000006.SZ,head,19940608,19940630,0,1,9071.5769,5645.1335,5645.1335,0.0,送股
000006.SZ,head,19941220,19950308,0,1,10432.3134,6491.9036,6491.9036,0.0,配股上市
000006.SZ,tail,20190330,20181231,0,1,134999.5046,134778.6178,134778.6178,220.8868,高管股份变动
000006.SZ,tail,20190816,20190630,0,1,134999.5046,134830.7972,134830.7972,168.7074,高管股份变动
000006.SZ,tail,20210331,20201231,0,1,134999.5046,134999.5046,134999.5046,0.0,高管股份变动
000006.SZ,tail,20230825,20230630,1,1,134999.5046,134998.7396,134998.7396,0.765,高管股份变动
000007.SZ,head,19980112,19920413,0,1,2123.35,840.0,840.0,0.0,新股上市
000007.SZ,head,19930630,19930531,0,1,4331.634,2400.0289,2400.0289,0.0,送股
000007.SZ,head,19941231,19940705,0,1,7363.7778,4080.0494,4080.0494,0.0,
000007.SZ,head,19970723,19970707,0,1,14359.3664,7956.0961,7956.0961,0.0,送转股
000007.SZ,tail,20160830,20160630,0,1,23096.5363,20596.5363,20596.5363,2500.0,高管股份变动
000007.SZ,tail,20170516,20170522,0,1,34644.8044,30894.8044,30894.8044,3750.0,转增
000007.SZ,tail,20180831,20180630,0,1,34644.8044,30894.8044,30894.8044,3750.0,股东变化导致股份结构变动
000007.SZ,tail,20241120,20241121,1,1,34644.8044,34644.8044,34644.8044,0.0,定向增发机构配售上市
000008.SZ,head,19980112,19920507,0,1,2376.0,1138.4486,1138.4486,0.0,新股上市
000008.SZ,head,19930519,19930531,0,1,3445.2,1650.76,1650.76,0.0,送股
000008.SZ,head,19940531,19940621,0,1,4478.7599,2145.9756,2145.9756,0.0,送转股
000008.SZ,head,19940906,19941031,0,1,5150.5738,2467.8719,2467.8719,0.0,配股上市
000008.SZ,tail,20240416,20231231,0,1,271637.7683,267594.926,267594.926,4042.8423,高管股份变动
000008.SZ,tail,20240830,20240630,0,1,271637.7683,268602.4366,268602.4366,3035.3317,高管股份变动
000008.SZ,tail,20250419,20241231,0,1,271637.7683,271623.3929,271623.3929,14.3754,高管股份变动
000008.SZ,tail,20250827,20250307,1,1,271637.7683,271629.6952,271629.6952,8.0731,高管股份变动
000009.SZ,head,19980112,19910625,0,1,22503.0,8441.0,8441.0,0.0,新股上市
000009.SZ,head,19921225,19921225,0,1,22503.0,9126.0,9126.0,0.0,内部职工股上市
000009.SZ,head,19950428,19940621,0,1,64301.5805,35619.4026,35619.4026,0.0,
000009.SZ,head,19950825,19950725,0,1,80376.9756,44524.2533,44524.2533,0.0,送股
000009.SZ,tail,20200429,20191231,0,1,257921.3965,254383.6879,254383.6879,3537.7086,股东变化导致股份结构变动
000009.SZ,tail,20200820,20200821,0,1,257921.3965,255189.7988,255189.7988,2731.5977,
000009.SZ,tail,20210327,20201231,0,1,257921.3965,255143.0324,255143.0324,2778.3641,高管股份变动
000009.SZ,tail,20250705,20250630,0,1,257921.3965,255377.589,255377.589,2543.8075,
000010.SZ,head,19950927,19951027,0,1,5236.6608,1699.8928,1699.8928,0.0,新股上市
000010.SZ,head,19960712,19960724,0,1,5865.06,1903.8799,1903.8799,0.0,送股
000010.SZ,head,19980117,19980122,0,1,7350.8724,2475.0437,2475.0437,0.0,配股上市
000010.SZ,head,19990525,19990602,0,1,14701.7448,4950.0874,4950.0874,0.0,转增
000010.SZ,tail,20250718,20250721,0,1,114965.2292,73155.4111,73155.4111,41809.8181,定向增发机构配售上市
000010.SZ,tail,20250812,20250813,0,1,114965.2292,78155.4111,78155.4111,36809.8181,股改限售股份上市
